Timestamp,run_custom_jemalloc
0,0.0031795058139534884
1,0.27044292462624586
2,0.22712378010797343
3,0.34793202346345514
4,0.3966498390780731
5,0.42045719995847175
6,0.4454390313538206
7,0.4559703332641196
8,0.4640683399086379
9,0.4716861762873754
10,0.4856597799003322
11,0.5062130139119602
12,0.5187104183970099
13,0.5297283793604651
14,0.5396854235880398
15,0.5487956810631229
16,0.5572700373754153
17,0.5773690562707641
18,0.5926112178156147
19,0.5972409676079734
20,0.5985030367524917
21,0.5985030367524917
22,0.5985030367524917
23,0.5985030367524917
24,0.5985030367524917
25,0.643110205564784
26,0.7112846501245847
27,0.7421420784883721
28,0.6674528914036545
29,0.6354047705564784
30,0.6321409105066446
31,0.7176339285714286
32,0.7138217659883721
33,0.6532197362956811
34,0.6456570546096345
35,0.6307750207641196
36,0.6451249740448505
37,0.6955980066445183
38,0.6631378477990033
39,0.6476328903654485
40,0.6403492265365448
41,0.6518278914036545
42,0.6411603249584718
43,0.6428409208887044
44,0.6695195701827242
45,0.6471819196428571
46,0.6431653602574751
47,0.6390741798172758
48,0.636906924833887
49,0.6458679401993356
50,0.6474155159883721
51,0.6964512821843853
52,0.6658339389534884
53,0.6696266351744186
54,0.668134214078073
55,0.6574536700581395
56,0.6947706862541528
57,0.71613177429402
58,0.6843075166112956
59,0.6484310112126246
60,0.6435189991694352
61,0.6583101899916943
62,0.6593191964285714
63,0.6888788673172758
64,0.7053117213455149
65,0.671430518064784
66,0.656616616486711
67,0.6459750051910299
68,0.673938434385382
69,0.6586832952657807
70,0.6665509499584718
71,0.6697304557724253
72,0.6593224408222591
73,0.6607597072259136
74,0.6683613216362126
75,0.6695682360880398
76,0.6654478561046512
77,0.6570481208471761
78,0.6710509240033222
79,0.6667877906976745
80,0.6805115759966778
81,0.7056686046511628
82,0.6762159987541528
83,0.6925742317275747
84,0.6648184437292359
85,0.6535668864202658
86,0.6715830045681063
87,0.6635239306478405
88,0.6570967867524917
89,0.7245412427325582
90,0.683171978820598
91,0.6693476173172758
92,0.6668916112956811
93,0.6813032080564784
94,0.6773774916943521
95,0.6907768376245847
96,0.6881423899501661
97,0.6802844684385382
98,0.7349752128322259
99,0.6965291476328903
100,0.6751550820182725
101,0.7192950581395349
102,0.6853781665282392
103,0.6810825892857143
104,0.6713883409468439
105,0.6753821895764119
106,0.6711125674833887
107,0.6943975809800664
108,0.6786849823504983
109,0.6690199335548173
110,0.7037057464700996
111,0.681030678986711
